source,news_headline,description,url,datetime,content
Business Standard,"Under fire over Shivaji statue collapse, CM Shinde meets top officials",The incident has caused an acute embarrassment to the Mahayuti government ahead of the assembly polls,https://www.business-standard.com/politics/under-fire-over-shivaji-statue-collapse-cm-shinde-meets-top-officials-124082801524_1.html,2024-08-29T02:10:19Z,Maharashtra Chief Minister Eknath Shinde held a meeting with top state government and Navy officials on late Wednesday night and discussed the collapse of a Chhatrapati Shivaji Maharaj statue in Sind… [+1049 chars]
Statetimes.in,"PM chairs Council of Ministers meet; issues affecting women, poor discussed","STATE TIMES NEWS NEW DELHI: Prime Minister Narendra Modi on Wednesday chaired a meeting of the entire Council of Ministers where issues affecting women and timely delivery of various policy measures figured prominently, sources said.The five-hour meeting, hel…",https://statetimes.in/pm-chairs-council-of-ministers-meet-issues-affecting-women-poor-discussed/,2024-08-29T02:02:43Z,"STATE TIMES NEWS
NEW DELHI: Prime Minister Narendra Modi on Wednesday chaired a meeting of the entire Council of Ministers where issues affecting women and timely delivery of various policy measures… [+1204 chars]"
Statetimes.in,Chugh visits BJP’s election war room in Channi Himmat,STATE TIMES NEWS JAMMU: BJP National General Secretary and Prabhari J&K BJP Tarun Chugh on Wednesday visited the party’s election war room established at Channi Himmat for the ongoing assembly elections in the Union Territory of Jammu and Kashmir.Accompanied …,https://statetimes.in/chugh-visits-bjps-election-war-room-in-channi-himmat/,2024-08-29T02:01:53Z,"STATE TIMES NEWS
JAMMU: BJP National General Secretary and Prabhari J&amp;K BJP Tarun Chugh on Wednesday visited the party’s election war room established at Channi Himmat for the ongoing assembly e… [+3317 chars]"
Statetimes.in,"Govt to set up 12 new industrial cities to boost mfg; outlay Rs 28,602 cr","STATE TIMES NEWS NEW DELHI: The government on Wednesday approved 12 new industrial cities in 10 states on the lines of Greater Noida in Uttar Pradesh and Dholera in Gujarat to boost domestic manufacturing with an estimated investment of Rs 28,602 crore.These …",https://statetimes.in/govt-to-set-up-12-new-industrial-cities-to-boost-mfg-outlay-rs-28602-cr/,2024-08-29T01:56:55Z,"STATE TIMES NEWS
NEW DELHI: The government on Wednesday approved 12 new industrial cities in 10 states on the lines of Greater Noida in Uttar Pradesh and Dholera in Gujarat to boost domestic manufac… [+8188 chars]"
Statetimes.in,"Jan Dhan Yojana not only for financial inclusion, also for socio-economic transformation: Dr Jitendra","STATE TIMES NEWS NEW DELHI: The Pradhan Mantri Jan Dhan Yojana (PMJDY), one of the most transformative initiatives in India’s financial history, today celebrates its 10th anniversary. Launched in 2014 under the visionary leadership of Prime Minister Narendra …",https://statetimes.in/jan-dhan-yojana-not-only-for-financial-inclusion-also-for-socio-economic-transformation-dr-jitendra/,2024-08-29T01:24:33Z,"STATE TIMES NEWS
NEW DELHI: The Pradhan Mantri Jan Dhan Yojana (PMJDY), one of the most transformative initiatives in India’s financial history, today celebrates its 10th anniversary. Launched in 20… [+2011 chars]"
Statetimes.in,Nagrota accords rousing reception to Rana,"STATE TIMES NEWS JAMMU: Thousands of enthusiastic people thronged the residence of Senior BJP leader Devender Singh Rana here on Wednesday to hail his nomination for contesting the upcoming election for the Nagrota Assembly Constituency,Carrying BJP placards …",https://statetimes.in/nagrota-accords-rousing-reception-to-rana/,2024-08-29T01:22:27Z,"STATE TIMES NEWS
JAMMU: Thousands of enthusiastic people thronged the residence of Senior BJP leader Devender Singh Rana here on Wednesday to hail his nomination for contesting the upcoming election… [+2182 chars]"
The Times of India,"Panels set up to probe collapse of Shivaji statue, build new one","The Maharashtra Government has formed a technical committee of engineers, IIT experts, and Navy officials to investigate the collapse of the Shivaji Maharaj statue in Malvan. An FIR has been filed against the contractor for alleged poor construction. Addition…",https://economictimes.indiatimes.com/news/politics-and-nation/panels-set-up-to-probe-collapse-of-shivaji-statue-build-new-one/articleshow/112880878.cms,2024-08-29T01:11:58Z,"Mumbai: Maharashtra Government has set up a technical committee comprising engineers, IIT experts and Navy officials to probe reasons behind the collapse of Shivaji Maharaj statue at Malvan in coasta… [+855 chars]"
Thehillstimes.in,"Centre approves Rs 4,136 cr for 15 GW hydropower projects in NE","NEW DELHI, Aug 28: The Union Cabinet on Wednesday approved equity support of Rs 4,136 crore to northeast states for developing hydropower projects, totalling 15,000 MW capacity over the next eight years. The Cabinet, chaired by Prime Minister Narendra Modi, h…",https://thehillstimes.in/northeast/centre-approves-rs-4136-cr-for-15-gw-hydropower-projects-in-ne,2024-08-29T01:05:00Z,"NEW DELHI, Aug 28: The Union Cabinet on Wednesday approved equity support of Rs 4,136 crore to northeast states for developing hydropower projects, totalling 15,000 MW capacity over the next eight ye… [+2388 chars]"
Business Standard,"Best of BS Opinion: Simplifying GST, trade imbalance, defending status quo",Here is the best of Business Standard's opinion pieces for today,https://www.business-standard.com/opinion/specials/best-of-bs-opinion-simplifying-gst-trade-imbalance-defending-status-quo-124082900005_1.html,2024-08-29T01:00:41Z,"Here is the best of Business Standard's opinion pieces for today
Illustration: BINAY SINHA
Rajesh Kumar
A group of state ministers working on potential changes to the goods and services tax (GST) … [+1339 chars]"
The Times of India,"Counting on you, gave guarantee of development to people: Modi to ministers","During the first Council of Ministers meeting in his third term, Prime Minister Narendra Modi assured continued development at the same speed over the next five years. Secretaries presented blueprints for the future and 2047 ambitions. Modi emphasized the imp…",https://timesofindia.indiatimes.com/india/counting-on-you-gave-guarantee-of-development-to-people-modi-to-ministers/articleshow/112880560.cms,2024-08-29T00:10:42Z,Iswarya Menon stuns gracefully in exquisite traditional sarees
OilPrice.com,Exxon Joins OPEC in Warning of Looming Oil Supply Crisis,"Traders and analysts have been overwhelmingly bearish on oil in the past few months. With a few exceptions, everyone seems to expect dwindling demand and falling prices. Yet it might turn out that the opposite will happen. OPEC has been warning about this for…",https://oilprice.com/Energy/Energy-General/Exxon-Joins-OPEC-in-Warning-of-Looming-Oil-Supply-Crisis.html,2024-08-29T00:00:00Z,"Canada will impose a 100%…
Tesla's price cuts have made…
Indian Prime Minister Narendra Modi…
By Irina Slav - Aug 28, 2024, 7:00 PM CDT
Traders and analysts have been overwhelmingly bearish on oi… [+4824 chars]"
NDTV News,"""How Dare You...?"": Himanta Sarma Slams Mamata Banerjee Over Her Remarks","Assam Chief Minister Himanta Biswa Sharma on Wednesday hit back at West Bengal Chief Minister Mamata Banerjee for her 'If Bengal burns, so will Assam' remark, saying, ""Didi, how dare you threaten Assam?""",https://www.ndtv.com/india-news/kolkata-rape-murder-case-himanta-biswa-sarma-slams-mamata-banerjee-over-her-remarks-6441142,2024-08-28T23:40:32Z,"Assam CM slammed Mamata Banerjee for her Assam remark amid protests against Kolkata rape case.
Kamrup Metropolitan, Assam:  Assam Chief Minister Himanta Biswa Sharma on Wednesday hit back at West Be… [+2898 chars]"
Thehillstimes.in,"Cabinet nod to 2 new lines, multi-tracking project costing Rs 6,456 cr","NEW DELHI, Aug 28: The Cabinet Committee on Economic Affairs, chaired by Prime Minister Narendra Modi, has approved three railway projects with a total estimated cost of Rs 6,456 crore, a statement from the Ministry of Railways said. According to the ministry…",https://thehillstimes.in/national/cabinet-nod-to-2-new-lines-multi-tracking-project-costing-rs-6456-cr,2024-08-28T23:05:00Z,"NEW DELHI, Aug 28: The Cabinet Committee on Economic Affairs, chaired by Prime Minister Narendra Modi, has approved three railway projects with a total estimated cost of Rs 6,456 crore, a statement f… [+2516 chars]"
Vox,"Zelenskyy’s new plan to end the war, explained","Ukraine’s President Volodymyr Zelenskyy announced Tuesday that he has a new plan to end Russia’s years-long war on his country. Zelenskyy has only outlined the plan in broad strokes, but Russian President Vladimir Putin reiterated Wednesday that he’s not inte…",https://www.vox.com/world-politics/369339/ukraine-zelenskyy-russia-putin-war-biden-sanctions-weapons-negotiations,2024-08-28T22:58:00Z,"Ukraines President Volodymyr Zelenskyy announced Tuesday that he has a new plan to end Russias years-long war on his country. Zelenskyy has only outlined the plan in broad strokes, but Russian Presid… [+5061 chars]"
Thehillstimes.in,Pema Khandu hails Union cabinet’s NE power sector aid,"ITANAGAR, Aug 28: Arunachal Pradesh chief minister Pema Khandu on Wednesday praised the Union Cabinet for approving equity support of Rs 4,136 crore to the northeast states for developing hydropower projects, totalling 15,000 MW capacity over the next eight y…",https://thehillstimes.in/northeast/pema-khandu-hails-union-cabinets-ne-power-sector-aid,2024-08-28T22:30:00Z,"ITANAGAR, Aug 28: Arunachal Pradesh chief minister Pema Khandu on Wednesday praised the Union Cabinet for approving equity support of Rs 4,136 crore to the northeast states for developing hydropower … [+1492 chars]"
Foreign Policy,Doctor’s Killing Galvanizes Protest in India,A shocking crime against a trainee in a Kolkata hospital has unleashed national outrage about sexual violence.,https://foreignpolicy.com/2024/08/28/india-doctor-protest-killing-sexual-violence/,2024-08-28T21:30:17Z,"Welcome to Foreign Policys South Asia Brief.Welcome to Foreign Policys South Asia Brief.
The highlights this week: The rape and killing of a trainee doctor in Kolkata triggers mass doctors protests … [+10461 chars]"
The Times of India,Approval for railway projects worth Rs 6.4k cr,"The Cabinet Committee on Economic Affairs, led by Prime Minister Narendra Modi, approved three new railway projects at a cost of ₹6,456 crore. The projects span seven districts in Odisha, Jharkhand, West Bengal, and Chhattisgarh, enhancing Indian Railways by …",https://economictimes.indiatimes.com/news/economy/infrastructure/approval-for-railway-projects-worth-rs-6-4k-cr/articleshow/112876930.cms,2024-08-28T20:25:30Z,"The Cabinet Committee on Economic Affairs, chaired by Prime Minister Narendra Modi, Wednesday approved three railway projects with a total estimated cost of 6,456 crore.The three projects cover seven… [+1403 chars]"
Thehillstimes.in,A decade of financial inclusion: PM Modi hails Jan Dhan Yojana,"NEW DELHI, Aug 28: As the Pradhan Mantri Jan Dhan Yojana completed 10 years, Prime Minister Narendra Modi on Wednesday said the scheme personifies dignity, empowerment and the opportunity to participate in the economic life of the nation. Modi also hailed tho…",https://thehillstimes.in/national/a-decade-of-financial-inclusion-pm-modi-hails-jan-dhan-yojana,2024-08-28T20:25:00Z,"NEW DELHI, Aug 28: As the Pradhan Mantri Jan Dhan Yojana completed 10 years, Prime Minister Narendra Modi on Wednesday said the scheme personifies dignity, empowerment and the opportunity to particip… [+5290 chars]"
NDTV News,BJP Trying To Destabilise Jharkhand Government: Congress Leader,Congress leader Pramod Tiwari has alleged that the BJP was trying to destabilize the Jharkhand government and alleged that the move concerning former state Chief Minister Champai Soren is a step in that direction.,https://www.ndtv.com/india-news/bjp-trying-to-destabilise-jharkhand-government-congress-leader-pramod-tiwari-6440528,2024-08-28T20:20:16Z,New Delhi: Congress leader Pramod Tiwari has alleged that the BJP was trying to destabilize the Jharkhand government and alleged that the move concerning former state Chief Minister Champai Soren is … [+2104 chars]
The Times of India,PM Jan Dhan scheme now serves 531 million,"Pradhan Mantri Jan Dhan Yojana, launched in 2014, has reached 531 million beneficiaries. The scheme helped in distributing welfare funds and provided financial inclusion for women, youth, and marginalized communities",https://economictimes.indiatimes.com/industry/banking/finance/banking/pm-jan-dhan-scheme-now-serves-531-million/articleshow/112876802.cms,2024-08-28T20:06:36Z,"Pradhan Mantri Jan Dhan Yojana, the first major scheme of the NDA government that was launched in 2014, has completed an impressive ten year journey in which it served as the basis for disbursement o… [+1829 chars]"
The Times of India,"If you set Bengal on fire, it will spread to Assam, NE: Mamata","West Bengal Chief Minister Mamata Banerjee announced plans to pass a bill ensuring capital punishment for rapists and blamed Prime Minister Narendra Modi for creating unrest in the state. Junior doctors protested, demanding the removal of the Commissioner of …",https://economictimes.indiatimes.com/news/politics-and-nation/if-you-set-bengal-on-fire-it-will-spread-to-assam-ne-mamata/articleshow/112876798.cms,2024-08-28T20:06:01Z,West Bengal Chief Minister Mamata Banerjee on Wednesday said that she will pass a bill in the state assembly to ensure that rapists get capital punishment. She also blamed Prime Minister Narendra Mod… [+2135 chars]
NDTV News,PM Chairs Council Of Ministers Meet; Discusses Issues Affecting Poor,"Prime Minister Narendra Modi on Wednesday chaired a meeting of the entire Council of Ministers where issues affecting women and timely delivery of various policy measures figured prominently, sources said.",https://www.ndtv.com/india-news/pm-chairs-council-of-ministers-meet-discusses-issues-affecting-women-poor-6440387,2024-08-28T19:38:05Z,"Initiatives taken by the government for the social sector also figured prominently in the meeting.
New Delhi: Prime Minister Narendra Modi on Wednesday chaired a meeting of the entire Council of Min… [+1426 chars]"
Thehillstimes.in,Corruption peaked under Mahayuti govt: Uddhav,"MUMBAI, Aug 28: Shiv Sena (UBT) chief Uddhav Thackeray on Wednesday hit out at the Eknath Shinde-led government over the collapse of Chhatrapati Shivaji Maharaj’s statue, alleging that corruption has peaked under the Mahayuti dispensation. A 35-foot statue of…",https://thehillstimes.in/national/corruption-peaked-under-mahayuti-govt-uddhav,2024-08-28T19:35:00Z,"MUMBAI, Aug 28: Shiv Sena (UBT) chief Uddhav Thackeray on Wednesday hit out at the Eknath Shinde-led government over the collapse of Chhatrapati Shivaji Maharajs statue, alleging that corruption has … [+948 chars]"
Thehillstimes.in,Congress demands PM’s apology over Shivaji’s fallen statue,"NEW DELHI, Aug 28: The Congress on Wednesday hit out at Prime Minister Narendra Modi over the collapse of Chhatrapati Shivaji Maharaj’s statue at Rajkot fort in Sindhudurg and asked whether he will apologise to the Maratha empire founder for putting his own p…",https://thehillstimes.in/national/congress-demands-pms-apology-over-shivajis-fallen-statue,2024-08-28T19:25:00Z,"NEW DELHI, Aug 28: The Congress on Wednesday hit out at Prime Minister Narendra Modi over the collapse of Chhatrapati Shivaji Maharajs statue at Rajkot fort in Sindhudurg and asked whether he will ap… [+1928 chars]"
Thehillstimes.in,Bengal govt will amend existing laws to ensure death penalty to rapists: Mamata,"KOLKATA, Aug 28: Asserting that her government has zero tolerance to incidents of rape, West Bengal Chief Minister Mamata Banerjee on Wednesday said an amendment to existing laws will be passed in the state assembly next week to ensure capital punishment to c…",https://thehillstimes.in/national/bengal-govt-will-amend-existing-laws-to-ensure-death-penalty-to-rapists-mamata,2024-08-28T19:10:00Z,"KOLKATA, Aug 28: Asserting that her government has zero tolerance to incidents of rape, West Bengal Chief Minister Mamata Banerjee on Wednesday said an amendment to existing laws will be passed in th… [+4868 chars]"
Southasiaviews.com,"Centre approves Rs 4,136 cr for 15 GW hydropower projects in Northeast","New Delhi, Aug 28 : The Union Cabinet chaired by the Prime Minister Narendra Modi has approved the proposal of the Ministry of Power for providing Central Financial Assistance (CFA) to the State Governments of NER towards their equity participation for develo…",https://southasiaviews.com/featured/centre-approves-rs-4136-cr-for-15-gw-hydropower-projects-in-northeast/,2024-08-28T18:50:11Z,"New Delhi, Aug 28 : The Union Cabinet chaired by the Prime Minister Narendra Modi has approved the proposal of the Ministry of Power for providing Central Financial Assistance (CFA) to the State Gove… [+3231 chars]"
Business Standard,'Source of inspiration': PM Modi wishes Indian contingent at Paralympics,"Prime Minister Narendra Modi on Wednesday wished the very best to India's contingent at the Paris Paralympics 2024, saying the courage and determination of every athlete are a source of inspiration for the entire nation.
In a post on X, Modi said, ""140 crore …",https://www.business-standard.com/sports/olympics/source-of-inspiration-pm-modi-wishes-indian-contingent-at-paralympics-124082801378_1.html,2024-08-28T18:26:16Z,"In a post on X, Modi said, ""140 crore Indians wish our contingent at the Paris #Paralympics 2024 the very best.""""The courage and determination of every athlete are a source of inspiration for the ent… [+93 chars]"
The Times of India,PMJDY integrates poor into economic mainstream: FM Sitharaman,"PMJDY has completed a decade of implementation. ""Universal and affordable access to formal banking services is essential for achieving financial inclusion and empowerment,"" Sitharaman said in her message on the 10th anniversary of PMJDY.",https://economictimes.indiatimes.com/news/economy/policy/pmjdy-integrates-poor-into-economic-mainstream-fm-sitharaman/articleshow/112875360.cms,2024-08-28T18:11:22Z,"The Pradhan Mantri Jan Dhan Yojana (PMJDY), the world's largest government initiative for financial inclusion, integrates the poor into the economic mainstream and plays a crucial role in the develop… [+2167 chars]"
NDTV News,"29 Dead, More Rain In Store For Gujarat Over Next Two Days: 10 Points","Gujarat, ravaged by rain and flood, has no hope of respite anytime soon, with the met department predicting more showers. The Met office has sent out an alert for very heavy rainfall till August 30.",https://www.ndtv.com/india-news/29-dead-more-rain-in-store-for-gujarat-over-next-two-days-10-points-6439911,2024-08-28T17:43:52Z,"<li>The India Meteorological Department has forecast of extremely heavy rains in isolated parts of districts in Saurashtra on Thursday.
</li><li>With the latest spell, Gujarat has so far received 10… [+1419 chars]"
Slate Magazine,One Reason Why Wars in the Middle East and Ukraine Are Dragging On for So Long,We're seeing the cost of the breakdown of the international system.,https://slate.com/news-and-politics/2024/08/war-ukraine-gaza-ceasefire-international-diplomacy-breakdown.html,2024-08-28T16:52:21Z,"Why do the wars in Ukraine and Gaza grind on, ferociously, relentlessly, with no end in sight and the combatants no closer to victory, as they define it, than they have ever been?
One reason is the … [+7990 chars]"
The Times of India,Will PM Modi apologise to Chhatrapati Shivaji for putting personal ambitions above his legacy: Congress,India News: NEW DELHI: The Congress on Wednesday hit out at Prime Minister Narendra Modi over the collapse of Chhatrapati Shivaji Maharaj's statue at Rajkot fort .,https://timesofindia.indiatimes.com/india/will-pm-modi-apologise-to-chhatrapati-shivaji-for-putting-personal-ambitions-above-his-legacy-congress/articleshow/112873734.cms,2024-08-28T16:17:17Z,8 morning habits that can help sharpen memory
Business Standard,Effective policing required to make India third largest economy: Home secy,"Effective policing, effective law and order, and effective action against crimes and criminals are necessary for India to become the third largest economy in the world, Union Home Secretary Govind Mohan said Wednesday.
Delivering Dr Anandswarup Gupta Memorial…",https://www.business-standard.com/india-news/effective-policing-required-to-make-india-third-largest-economy-home-secy-124082801138_1.html,2024-08-28T16:15:55Z,"During the function, the home secretary released a documentary and a special edition of the Indian Police Journal, BPR&amp;D's flagship publication, both on new criminal laws
The home secretary also… [+3025 chars]"
BusinessLine,BJP’s 12-hour strike partially affects life in West Bengal,"The protesters blocked train tracks, halted buses on national highways and clashed with the police at several places across the State on Wednesday",https://www.thehindubusinessline.com/news/bjps-12-hour-strike-partially-affects-life-in-west-bengal/article68578045.ece,2024-08-28T16:12:32Z,"The 12-hour strike called by the Opposition BJP in West Bengal evoked a mixed response as party workers and protesters blocked train tracks, halted buses on national highways and clashed with the pol… [+2251 chars]"
The Times of India,"Rains claim 19 more lives in Gujarat, toll up to 26; 17,800 evacuated, PM Modi dials CM, assures aid",​​The India Meteorological Department (IMD) has forecast of extremely heavy rains in isolated parts of districts in Saurashtra on Thursday. People stranded in their houses and rooftops in Vadodara city were rescued and relocated to safer places by teams of th…,https://economictimes.indiatimes.com/news/india/rains-claim-19-more-lives-in-gujarat-toll-up-to-26-17800-evacuated-pm-modi-dials-cm-assures-aid/articleshow/112873364.cms,2024-08-28T15:50:30Z,"Rain-related incidents claimed 19 more lives in Gujarat, taking the toll to 26 in three days, while around 17,800 people were evacuated from flood-affected areas as heavy showers lashed parts of the … [+5394 chars]"
Business Standard,"PM Modi chairs PRAGATI meet, reviews projects worth more than Rs 76,500 cr","Prime Minister Narendra Modi on Wednesday chaired a PRAGATI meeting to review the progress of seven key projects, spread across 11 states and Union Territories, having a cumulative worth of around Rs 76,500 crore, his office said.
Prime Minister Modi emphasiz…",https://www.business-standard.com/india-news/pm-modi-chairs-pragati-meet-reviews-projects-worth-more-than-rs-76-500-cr-124082801219_1.html,2024-08-28T15:32:36Z,"PM Modi emphasized the fact that delay in projects not only leads to cost escalation but also deprives the public of the intended benefits of the project
During the interaction, the prime minister a… [+4084 chars]"
RT,Protests over doctor’s rape and murder paralyze Indian state,Prime Minister Narendra Modi’s BJP has called for the chief minister of West Bengal to be sacked Read Full Article at RT.com,https://www.rt.com/india/603214-west-bengal-rape-protests/,2024-08-28T15:27:40Z,"Chaos erupted in eastern India’s West Bengal state on Wednesday, 24 hours after police deployed tear gas and water cannons to disperse protesters who continue to demonstrate over the rape and murder … [+2691 chars]"
The Times of India,"Shivaji Maharaj statue collapse: Facing oppn ire, Kesarkar says his remarks being misinterpreted","Maharashtra minister Deepak Kesarkar stated that his comments on the collapse of Chhatrapati Shivaji's statue were misconstrued and demanded the erection of a 100-foot structure at the same spot. The 35-foot statue, unveiled by PM Modi last year, collapsed re…",https://economictimes.indiatimes.com/news/politics-and-nation/shivaji-maharaj-statue-collapse-facing-oppn-ire-kesarkar-says-his-remarks-being-misinterpreted/articleshow/112872590.cms,2024-08-28T15:14:57Z,"Maharashtra cabinet minister Deepak Kesarkar on Wednesday defended his ""something good may come out of the collapse of Chhatrapati Shivaji's statue"" remarks and demanded the erection of a similar 100… [+1546 chars]"
Al Jazeera English,"Hasina, floods, visas: What’s troubling India-Bangladesh relations?",Bangladesh's opposition demands Sheikh Hasina be extradited from India and tensions sour following her overthrow.,https://www.aljazeera.com/news/2024/8/28/hasina-floods-visas-whats-troubling-india-bangladesh-relations,2024-08-28T15:10:52Z,"Last September, Indian Prime Minister Narendra Modi hosted his Bangladeshi counterpart Sheikh Hasina as a special guest on the margins of the G20 Summit in New Delhi. It was a gesture of warmth towar… [+8728 chars]"
The Times of India,"PM Modi reviews 7 key projects spread across 11 states, UTs worth more than Rs 76,500 crore","Prime Minister Narendra Modi chaired a PRAGATI meeting to review progress on seven major projects worth Rs 76,500 crore across 11 states. Modi highlighted the impact of project delays on public benefits and cost. He also reviewed AMRUT 2.0 and public grievanc…",https://economictimes.indiatimes.com/news/india/pm-modi-reviews-7-key-projects-spread-across-11-states-uts-worth-more-than-rs-76500-crore/articleshow/112872129.cms,2024-08-28T14:53:04Z,"Prime Minister Narendra Modi on Wednesday chaired a PRAGATI meeting to review the progress of seven key projects, spread across 11 states and Union Territories, having a cumulative worth of around Rs… [+3522 chars]"
The Times of India,'Modi ka tairta hua Gujarat model': Congress slams BJP as state deals with flooding crisis,"Gujarat faces severe flooding due to relentless rains, prompting Congress to criticize PM Modi's 'Gujarat Model'. Congress leaders Mallikarjun Kharge and Rahul Gandhi urge for immediate government action. With a rising death toll and thousands evacuated, resc…",https://economictimes.indiatimes.com/news/india/modi-ka-tairta-hua-gujarat-model-congress-slams-bjp-as-state-deals-with-flooding-crisis/articleshow/112871704.cms,2024-08-28T14:48:58Z,"Gujarat is struggling with heavy rains causing severe flooding, leading to criticisms from Congress about the 'Gujarat Model' touted by PM Modi and the BJP government. Congress shared a video on soci… [+2517 chars]"
